"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"TIPO"
"505";"51";"África";"CONTINENTES"
"660";"51";"África";"CONTINENTES"
"488";"51";"África";"CONTINENTES"
"127";"51";"África";"CONTINENTES"
"754";"51";"África";"CONTINENTES"
"329";"51";"África";"CONTINENTES"
"458";"51";"África";"CONTINENTES"
"253";"51";"África";"CONTINENTES"
"040";"51";"África";"CONTINENTES"
"059";"51";"África";"CONTINENTES"
"665";"51";"África";"CONTINENTES"
"820";"51";"África";"CONTINENTES"
"101";"51";"África";"CONTINENTES"
"289";"51";"África";"CONTINENTES"
"243";"51";"África";"CONTINENTES"
"685";"51";"África";"CONTINENTES"
"728";"51";"África";"CONTINENTES"
"783";"51";"África";"CONTINENTES"
"229";"51";"África";"CONTINENTES"
"464";"51";"África";"CONTINENTES"
"438";"51";"África";"CONTINENTES"
"285";"51";"África";"CONTINENTES"
"031";"51";"África";"CONTINENTES"
"759";"51";"África";"CONTINENTES"
"528";"51";"África";"CONTINENTES"
"788";"51";"África";"CONTINENTES"
"115";"51";"África";"CONTINENTES"
"331";"51";"África";"CONTINENTES"
"800";"51";"África";"CONTINENTES"
"193";"51";"África";"CONTINENTES"
"675";"51";"África";"CONTINENTES"
"780";"51";"África";"CONTINENTES"
"281";"51";"África";"CONTINENTES"
"623";"51";"África";"CONTINENTES"
"756";"51";"África";"CONTINENTES"
"525";"51";"África";"CONTINENTES"
"833";"51";"África";"CONTINENTES"
"890";"51";"África";"CONTINENTES"
"334";"51";"África";"CONTINENTES"
"434";"51";"África";"CONTINENTES"
"748";"51";"África";"CONTINENTES"
"474";"51";"África";"CONTINENTES"
"507";"51";"África";"CONTINENTES"
"720";"51";"África";"CONTINENTES"
"240";"51";"África";"CONTINENTES"
"177";"51";"África";"CONTINENTES"
"640";"51";"África";"CONTINENTES"
"731";"51";"África";"CONTINENTES"
"782";"51";"África";"CONTINENTES"
"426";"51";"África";"CONTINENTES"
"173";"51";"África";"CONTINENTES"
"710";"51";"África";"CONTINENTES"
"760";"51";"África";"CONTINENTES"
"145";"51";"África";"CONTINENTES"
"450";"51";"África";"CONTINENTES"
"485";"51";"África";"CONTINENTES"
"735";"51";"África";"CONTINENTES"
"888";"51";"África";"CONTINENTES"
"501";"105";"América Central e Caribe";"CONTINENTES"
"866";"105";"América Central e Caribe";"CONTINENTES"
"088";"105";"América Central e Caribe";"CONTINENTES"
"345";"105";"América Central e Caribe";"CONTINENTES"
"815";"105";"América Central e Caribe";"CONTINENTES"
"770";"105";"América Central e Caribe";"CONTINENTES"
"047";"105";"América Central e Caribe";"CONTINENTES"
"521";"105";"América Central e Caribe";"CONTINENTES"
"309";"105";"América Central e Caribe";"CONTINENTES"
"678";"105";"América Central e Caribe";"CONTINENTES"
"200";"105";"América Central e Caribe";"CONTINENTES"
"305";"105";"América Central e Caribe";"CONTINENTES"
"041";"105";"América Central e Caribe";"CONTINENTES"
"090";"105";"América Central e Caribe";"CONTINENTES"
"647";"105";"América Central e Caribe";"CONTINENTES"
"863";"105";"América Central e Caribe";"CONTINENTES"
"611";"105";"América Central e Caribe";"CONTINENTES"
"065";"105";"América Central e Caribe";"CONTINENTES"
"297";"105";"América Central e Caribe";"CONTINENTES"
"693";"105";"América Central e Caribe";"CONTINENTES"
"077";"105";"América Central e Caribe";"CONTINENTES"
"137";"105";"América Central e Caribe";"CONTINENTES"
"699";"105";"América Central e Caribe";"CONTINENTES"
"700";"105";"América Central e Caribe";"CONTINENTES"
"705";"105";"América Central e Caribe";"CONTINENTES"
"695";"105";"América Central e Caribe";"CONTINENTES"
"687";"105";"América Central e Caribe";"CONTINENTES"
"043";"105";"América Central e Caribe";"CONTINENTES"
"099";"105";"América Central e Caribe";"CONTINENTES"
"199";"105";"América Central e Caribe";"CONTINENTES"
"580";"105";"América Central e Caribe";"CONTINENTES"
"341";"105";"América Central e Caribe";"CONTINENTES"
"391";"105";"América Central e Caribe";"CONTINENTES"
"235";"105";"América Central e Caribe";"CONTINENTES"
"715";"105";"América Central e Caribe";"CONTINENTES"
"698";"105";"América Central e Caribe";"CONTINENTES"
"083";"105";"América Central e Caribe";"CONTINENTES"
"895";"105";"América Central e Caribe";"CONTINENTES"
"823";"105";"América Central e Caribe";"CONTINENTES"
"477";"105";"América Central e Caribe";"CONTINENTES"
"196";"105";"América Central e Caribe";"CONTINENTES"
"317";"105";"América Central e Caribe";"CONTINENTES"
"493";"107";"América do Norte";"CONTINENTES"
"249";"107";"América do Norte";"CONTINENTES"
"149";"107";"América do Norte";"CONTINENTES"
"106";"48";"América do Sul";"CONTINENTES"
"169";"48";"América do Sul";"CONTINENTES"
"589";"48";"América do Sul";"CONTINENTES"
"255";"48";"América do Sul";"CONTINENTES"
"100";"48";"América do Sul";"CONTINENTES"
"239";"48";"América do Sul";"CONTINENTES"
"105";"48";"América do Sul";"CONTINENTES"
"337";"48";"América do Sul";"CONTINENTES"
"586";"48";"América do Sul";"CONTINENTES"
"325";"48";"América do Sul";"CONTINENTES"
"097";"48";"América do Sul";"CONTINENTES"
"158";"48";"América do Sul";"CONTINENTES"
"063";"48";"América do Sul";"CONTINENTES"
"850";"48";"América do Sul";"CONTINENTES"
"845";"48";"América do Sul";"CONTINENTES"
"064";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"108";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"119";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"461";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"365";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"776";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"858";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"153";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"161";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"741";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"455";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"855";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"081";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"351";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"750";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"190";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"291";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"625";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"187";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"361";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"824";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"795";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"141";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"267";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"013";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"073";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"447";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"576";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"399";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"497";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"847";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"772";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"423";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"093";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"160";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"517";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"420";"39";"Ásia (Exclusive Oriente Médio)";"CONTINENTES"
"495";"112";"Europa";"CONTINENTES"
"020";"112";"Europa";"CONTINENTES"
"737";"112";"Europa";"CONTINENTES"
"375";"112";"Europa";"CONTINENTES"
"293";"112";"Europa";"CONTINENTES"
"251";"112";"Europa";"CONTINENTES"
"023";"112";"Europa";"CONTINENTES"
"840";"112";"Europa";"CONTINENTES"
"247";"112";"Europa";"CONTINENTES"
"386";"112";"Europa";"CONTINENTES"
"232";"112";"Europa";"CONTINENTES"
"628";"112";"Europa";"CONTINENTES"
"085";"112";"Europa";"CONTINENTES"
"195";"112";"Europa";"CONTINENTES"
"790";"112";"Europa";"CONTINENTES"
"025";"112";"Europa";"CONTINENTES"
"072";"112";"Europa";"CONTINENTES"
"573";"112";"Europa";"CONTINENTES"
"152";"112";"Europa";"CONTINENTES"
"452";"112";"Europa";"CONTINENTES"
"111";"112";"Europa";"CONTINENTES"
"697";"112";"Europa";"CONTINENTES"
"301";"112";"Europa";"CONTINENTES"
"467";"112";"Europa";"CONTINENTES"
"271";"112";"Europa";"CONTINENTES"
"848";"112";"Europa";"CONTINENTES"
"603";"112";"Europa";"CONTINENTES"
"150";"112";"Europa";"CONTINENTES"
"498";"112";"Europa";"CONTINENTES"
"355";"112";"Europa";"CONTINENTES"
"427";"112";"Europa";"CONTINENTES"
"449";"112";"Europa";"CONTINENTES"
"440";"112";"Europa";"CONTINENTES"
"246";"112";"Europa";"CONTINENTES"
"245";"112";"Europa";"CONTINENTES"
"494";"112";"Europa";"CONTINENTES"
"359";"112";"Europa";"CONTINENTES"
"037";"112";"Europa";"CONTINENTES"
"442";"112";"Europa";"CONTINENTES"
"607";"112";"Europa";"CONTINENTES"
"087";"112";"Europa";"CONTINENTES"
"767";"112";"Europa";"CONTINENTES"
"676";"112";"Europa";"CONTINENTES"
"393";"112";"Europa";"CONTINENTES"
"670";"112";"Europa";"CONTINENTES"
"764";"112";"Europa";"CONTINENTES"
"017";"112";"Europa";"CONTINENTES"
"275";"112";"Europa";"CONTINENTES"
"827";"112";"Europa";"CONTINENTES"
"015";"112";"Europa";"CONTINENTES"
"538";"112";"Europa";"CONTINENTES"
"367";"112";"Europa";"CONTINENTES"
"259";"112";"Europa";"CONTINENTES"
"445";"112";"Europa";"CONTINENTES"
"831";"112";"Europa";"CONTINENTES"
"151";"112";"Europa";"CONTINENTES"
"163";"112";"Europa";"CONTINENTES"
"388";"112";"Europa";"CONTINENTES"
"098";"112";"Europa";"CONTINENTES"
"791";"112";"Europa";"CONTINENTES"
"379";"112";"Europa";"CONTINENTES"
"875";"61";"Oceania";"CONTINENTES"
"575";"61";"Oceania";"CONTINENTES"
"569";"61";"Oceania";"CONTINENTES"
"490";"61";"Oceania";"CONTINENTES"
"535";"61";"Oceania";"CONTINENTES"
"313";"61";"Oceania";"CONTINENTES"
"396";"61";"Oceania";"CONTINENTES"
"542";"61";"Oceania";"CONTINENTES"
"183";"61";"Oceania";"CONTINENTES"
"563";"61";"Oceania";"CONTINENTES"
"476";"61";"Oceania";"CONTINENTES"
"472";"61";"Oceania";"CONTINENTES"
"165";"61";"Oceania";"CONTINENTES"
"548";"61";"Oceania";"CONTINENTES"
"545";"61";"Oceania";"CONTINENTES"
"531";"61";"Oceania";"CONTINENTES"
"583";"61";"Oceania";"CONTINENTES"
"566";"61";"Oceania";"CONTINENTES"
"810";"61";"Oceania";"CONTINENTES"
"870";"61";"Oceania";"CONTINENTES"
"593";"61";"Oceania";"CONTINENTES"
"499";"61";"Oceania";"CONTINENTES"
"690";"61";"Oceania";"CONTINENTES"
"677";"61";"Oceania";"CONTINENTES"
"805";"61";"Oceania";"CONTINENTES"
"069";"61";"Oceania";"CONTINENTES"
"511";"61";"Oceania";"CONTINENTES"
"691";"61";"Oceania";"CONTINENTES"
"508";"61";"Oceania";"CONTINENTES"
"828";"61";"Oceania";"CONTINENTES"
"873";"61";"Oceania";"CONTINENTES"
"599";"61";"Oceania";"CONTINENTES"
"411";"61";"Oceania";"CONTINENTES"
"551";"61";"Oceania";"CONTINENTES"
"403";"41";"Oriente Médio";"CONTINENTES"
"431";"41";"Oriente Médio";"CONTINENTES"
"198";"41";"Oriente Médio";"CONTINENTES"
"556";"41";"Oriente Médio";"CONTINENTES"
"744";"41";"Oriente Médio";"CONTINENTES"
"080";"41";"Oriente Médio";"CONTINENTES"
"053";"41";"Oriente Médio";"CONTINENTES"
"369";"41";"Oriente Médio";"CONTINENTES"
"286";"41";"Oriente Médio";"CONTINENTES"
"372";"41";"Oriente Médio";"CONTINENTES"
"358";"41";"Oriente Médio";"CONTINENTES"
"578";"41";"Oriente Médio";"CONTINENTES"
"237";"41";"Oriente Médio";"CONTINENTES"
"154";"41";"Oriente Médio";"CONTINENTES"
"383";"41";"Oriente Médio";"CONTINENTES"
"579";"41";"Oriente Médio";"CONTINENTES"
"357";"41";"Oriente Médio";"CONTINENTES"
"244";"41";"Oriente Médio";"CONTINENTES"
"008";"41";"Oriente Médio";"CONTINENTES"
"786";"114";"Outros";"CONTINENTES"
"263";"114";"Outros";"CONTINENTES"
"131";"114";"Outros";"CONTINENTES"
"395";"114";"Outros";"CONTINENTES"
"738";"114";"Outros";"CONTINENTES"
"009";"114";"Outros";"CONTINENTES"
"785";"114";"Outros";"CONTINENTES"
"995";"119";"País Não Declarado/Sem Informação de País";"CONTINENTES"
"990";"119";"País Não Declarado/Sem Informação de País";"CONTINENTES"
"994";"119";"País Não Declarado/Sem Informação de País";"CONTINENTES"
"999";"119";"País Não Declarado/Sem Informação de País";"CONTINENTES"
"997";"119";"País Não Declarado/Sem Informação de País";"CONTINENTES"
"998";"119";"País Não Declarado/Sem Informação de País";"CONTINENTES"
"458";"51";"África";"RELATORIOS SECEX"
"464";"51";"África";"RELATORIOS SECEX"
"040";"51";"África";"RELATORIOS SECEX"
"660";"51";"África";"RELATORIOS SECEX"
"780";"51";"África";"RELATORIOS SECEX"
"127";"51";"África";"RELATORIOS SECEX"
"285";"51";"África";"RELATORIOS SECEX"
"434";"51";"África";"RELATORIOS SECEX"
"720";"51";"África";"RELATORIOS SECEX"
"675";"51";"África";"RELATORIOS SECEX"
"788";"51";"África";"RELATORIOS SECEX"
"426";"51";"África";"RELATORIOS SECEX"
"505";"51";"África";"RELATORIOS SECEX"
"474";"51";"África";"RELATORIOS SECEX"
"485";"51";"África";"RELATORIOS SECEX"
"623";"51";"África";"RELATORIOS SECEX"
"748";"51";"África";"RELATORIOS SECEX"
"243";"51";"África";"RELATORIOS SECEX"
"145";"51";"África";"RELATORIOS SECEX"
"289";"51";"África";"RELATORIOS SECEX"
"031";"51";"África";"RELATORIOS SECEX"
"240";"51";"África";"RELATORIOS SECEX"
"890";"51";"África";"RELATORIOS SECEX"
"731";"51";"África";"RELATORIOS SECEX"
"450";"51";"África";"RELATORIOS SECEX"
"710";"51";"África";"RELATORIOS SECEX"
"760";"51";"África";"RELATORIOS SECEX"
"115";"51";"África";"RELATORIOS SECEX"
"177";"51";"África";"RELATORIOS SECEX"
"833";"51";"África";"RELATORIOS SECEX"
"101";"51";"África";"RELATORIOS SECEX"
"507";"51";"África";"RELATORIOS SECEX"
"528";"51";"África";"RELATORIOS SECEX"
"229";"51";"África";"RELATORIOS SECEX"
"782";"51";"África";"RELATORIOS SECEX"
"173";"51";"África";"RELATORIOS SECEX"
"665";"51";"África";"RELATORIOS SECEX"
"281";"51";"África";"RELATORIOS SECEX"
"329";"51";"África";"RELATORIOS SECEX"
"685";"51";"África";"RELATORIOS SECEX"
"059";"51";"África";"RELATORIOS SECEX"
"735";"51";"África";"RELATORIOS SECEX"
"888";"51";"África";"RELATORIOS SECEX"
"253";"51";"África";"RELATORIOS SECEX"
"193";"51";"África";"RELATORIOS SECEX"
"488";"51";"África";"RELATORIOS SECEX"
"783";"51";"África";"RELATORIOS SECEX"
"438";"51";"África";"RELATORIOS SECEX"
"754";"51";"África";"RELATORIOS SECEX"
"756";"51";"África";"RELATORIOS SECEX"
"728";"51";"África";"RELATORIOS SECEX"
"525";"51";"África";"RELATORIOS SECEX"
"820";"51";"África";"RELATORIOS SECEX"
"800";"51";"África";"RELATORIOS SECEX"
"331";"51";"África";"RELATORIOS SECEX"
"640";"51";"África";"RELATORIOS SECEX"
"759";"51";"África";"RELATORIOS SECEX"
"334";"51";"África";"RELATORIOS SECEX"
"895";"105";"América Central e Caribe";"RELATORIOS SECEX"
"305";"105";"América Central e Caribe";"RELATORIOS SECEX"
"823";"105";"América Central e Caribe";"RELATORIOS SECEX"
"043";"105";"América Central e Caribe";"RELATORIOS SECEX"
"687";"105";"América Central e Caribe";"RELATORIOS SECEX"
"770";"105";"América Central e Caribe";"RELATORIOS SECEX"
"521";"105";"América Central e Caribe";"RELATORIOS SECEX"
"705";"105";"América Central e Caribe";"RELATORIOS SECEX"
"317";"105";"América Central e Caribe";"RELATORIOS SECEX"
"863";"105";"América Central e Caribe";"RELATORIOS SECEX"
"235";"105";"América Central e Caribe";"RELATORIOS SECEX"
"815";"105";"América Central e Caribe";"RELATORIOS SECEX"
"580";"105";"América Central e Caribe";"RELATORIOS SECEX"
