"CO_PORTO";"NO_PORTO";"SG_UF"
"3425";"VITORIA - PORTO DE PRAIA MOLE";"ES"
"3426";"VITORIA - PORTO DE TUBARAO";"ES"
"3428";"VITORIA - PORTO";"ES"
"3430";"VITORIA - AEROPORTO";"ES"
"3602";"RIO BONITO";"RJ"
"3604";"ANGRA DOS REIS";"RJ"
"3605";"RIO DE JANEIRO - PORTO";"RJ"
"3606";"RIO DE JANEIRO - AEROPORTO";"RJ"
"3612";"CABO FRIO";"RJ"
"3620";"NITEROI";"RJ"
"3670";"MACAE";"RJ"
"3680";"RIO DE JANEIRO - PORTO (SEPETIBA)";"RJ"
"4102";"CAMPINAS - AEROPORTO";"SP"
"4103";"IBITINGA";"SP"
"4104";"CANANEIA";"SP"
"4105";"BAURU";"SP"
"4106";"SAO PAULO - AEROPORTO DE CUMBICA";"SP"
"4109";"LIMEIRA";"SP"
"4111";"GUARUJA";"SP"
"4112";"IGUAPE";"SP"
"4113";"PRESIDENTE PRUDENTE";"SP"
"4114";"RIBEIRAO PRETO";"SP"
"4115";"SAO JOSE DO RIO PRETO";"SP"
"4117";"SANTOS";"SP"
"4119";"SAO PAULO - FERROVIA";"SP"
"4120";"SAO PAULO - AEROPORTO";"SP"
"4121";"SAO PAULO - CORREIO";"SP"
"4124";"SAO SEBASTIAO";"SP"
"4125";"INDAIATUBA";"SP"
"4127";"PRAIA GRANDE";"SP"
"4128";"SAO JOSE DOS CAMPOS";"SP"
"4129";"CAMPOS DO JORDAO";"SP"
"4132";"SUMARE";"SP"
"4133";"TATUI";"SP"
"4135";"UBATUBA";"SP"
"4136";"TAUBATE";"SP"
"4138";"SOROCABA";"SP"
"4140";"JUNDIAI";"SP"
"4204";"ANTONINA";"PR"
"4206";"ARAUCARIA";"PR"
"4207";"COLOMBO";"PR"
"4208";"CURITIBA - AEROPORTO";"PR"
"4212";"FOZ DO IGUACU - RODOVIA";"PR"
"4213";"FOZ DO IGUACU - AEROPORTO";"PR"
"4216";"GUAIRA";"PR"
"4218";"FOZ DO IGUACU - RODOVIA (PTE FRATERNID ARG)";"PR"
"4228";"PORTO DE PARANAGUA";"PR"
"4232";"PORTO MENDES";"PR"
"4240";"SANTA HELENA";"PR"
"4250";"SANTO ANTONIO";"PR"
"4252";"MARINGA";"PR"
"4403";"DIONISIO CERQUEIRA";"SC"
"4404";"FLORIANOPOLIS - PORTO";"SC"
"4406";"FLORIANOPOLIS - AEROPORTO";"SC"
"4408";"IMBITUBA";"SC"
"4412";"ITAJAI";"SC"
"2415";"IRF NATAL";"RN"
"5503";"CAMPO GRANDE";"MS"
"5504";"CORUMBA - PORTO";"MS"
"5505";"CORUMBA - RODOVIA";"MS"
"5506";"CORUMBA - AEROPORTO";"MS"
"5508";"CORUMBA - FERROVIA";"MS"
"5510";"MUNDO NOVO (CORONEL RENATO)";"MS"
"5512";"PONTA PORA - RODOVIA";"MS"
"5513";"PONTA PORA - AEROPORTO";"MS"
"5515";"NAVIRAI";"MS"
"5516";"PORTO ESPERANCA";"MS"
"5517";"RIO VERDE DE MATO GROSSO";"MS"
"5520";"PORTO MURTINHO";"MS"
"9999";"NAO DECLARADO";"ND"
"3690";"NOVA IGUACU";"RJ"
"0000";"NAO DEFINIDO";"ND"
"1102";"ABUNA";"RO"
"1104";"GUAJARA-MIRIM - PORTO";"RO"
"1105";"GUAJARA-MIRIM - RODOVIA";"RO"
"1106";"GUAJARA-MIRIM - AEROPORTO";"RO"
"1108";"PORTO VELHO";"RO"
"1206";"ASSIS BRASIL";"AC"
"1212";"BRASILEIA";"AC"
"1216";"CRUZEIRO DO SUL";"AC"
"1248";"SENA MADUREIRA";"AC"
"1252";"RIO BRANCO";"AC"
"1304";"BENJAMIN CONSTANT";"AM"
"1308";"CANUTAMA";"AM"
"1316";"ITACOATIARA";"AM"
"1320";"MANAUS - PORTO";"AM"
"1322";"MANAUS - AEROPORTO";"AM"
"1324";"PARINTINS";"AM"
"1390";"TABATINGA - PORTO";"AM"
"1391";"TABATINGA - AEROPORTO";"AM"
"1404";"BOA VISTA";"RR"
"1406";"PACARAIMA";"RR"
"1408";"BONFIM";"RR"
"1501";"ALMEIRIM";"PA"
"1502";"MUNGUBA";"PA"
"1504";"BELEM - PORTO";"PA"
"1506";"BELEM - AEROPORTO";"PA"
"3614";"CAMPOS DOS GOITACAZES";"RJ"
"4220";"LONDRINA";"PR"
"1510";"BARCARENA";"PA"
"1512";"OBIDOS";"PA"
"1513";"PORTEL";"PA"
"1514";"SANTAREM";"PA"
"1516";"MONTE DOURADO";"PA"
"1518";"BREVES";"PA"
"1520";"ORIXIMINA";"PA"
"1522";"REDENCAO";"PA"
"1604";"AMAPA";"AP"
"1606";"MACAPA - PORTO";"AP"
"1607";"MACAPA - AEROPORTO";"AP"
"1608";"OIAPOQUE";"AP"
"1610";"SANTANA";"AP"
"2102";"CHAPADINHA";"MA"
"2104";"SAO LUIS - PORTO";"MA"
"2106";"SAO LUIS - AEROPORTO";"MA"
